ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
CGEM,39.52,BUY,79.04,79.04,88.13559322033898,87.67528229124109,89.29,79.04,89.29,79.04,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CGON,21.55,WATCH,43.1,43.1,38.983050847457626,27.11936111831062,37.5,43.1,37.5,43.1,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CHRS,31.04,BUY,62.08,62.08,83.05084745762711,59.10048399115246,83.93,62.08,83.93,62.08,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CLDX,1.495,AVOID,2.99,2.99,16.94915254237288,-40.45198075030331,14.29,2.99,14.29,2.99,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CLYM,15.685,WATCH,31.37,31.37,22.22222222222222,7.362770017445001,19.84,31.37,19.84,31.37,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CMPS,3.07,AVOID,6.14,6.14,30.508474576271187,-35.15414060933719,28.57,6.14,28.57,6.14,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CMPX,50.0,BUY,100.0,100.0,88.13559322033898,239.77426507550285,89.29,100.0,89.29,100.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CNTA,42.435,BUY,84.87,84.87,96.61016949152544,97.50263521876396,98.21,84.87,98.21,84.87,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CNTN,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CNTX,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
COGT,24.83,WATCH,49.66,49.66,38.983050847457626,38.17058699610242,37.5,49.66,37.5,49.66,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
COLL,18.66,WATCH,37.32,37.32,61.01694915254237,17.38578357690266,60.71,37.32,60.71,37.32,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CORT,7.65,AVOID,15.3,15.3,6.779661016949152,-19.721874998809376,3.57,15.3,3.57,15.3,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CPRX,17.22,WATCH,34.44,34.44,61.01694915254237,12.53165962825488,60.71,34.44,60.71,34.44,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRBP,30.46,BUY,60.92,60.92,74.57627118644068,57.15217762237128,75.0,60.92,75.0,60.92,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRBU,24.7,WATCH,49.4,49.4,59.32203389830508,37.7356611027667,58.93,49.4,58.93,49.4,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRDF,38.54,BUY,77.08,77.08,69.49152542372882,84.37500284784166,69.64,77.08,69.64,77.08,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRL,7.725,AVOID,15.45,15.45,30.508474576271187,-19.46130911496426,28.57,15.45,28.57,15.45,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRMD,17.97,WATCH,35.94,35.94,50.84745762711864,15.06070101896664,50.0,35.94,50.0,35.94,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRNX,18.525,WATCH,37.05,37.05,44.06779661016949,16.9248263198047,42.86,37.05,42.86,37.05,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRON,20.345,WATCH,40.69,40.69,27.11864406779661,23.06372575267406,25.0,40.69,25.0,40.69,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRSP,9.13,AVOID,18.26,18.26,55.932203389830505,-14.730458495909744,55.36,18.26,55.36,18.26,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CRVS,25.985,WATCH,51.97,51.97,50.84745762711864,42.07604113654549,50.0,51.97,50.0,51.97,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CSTL,10.655,AVOID,21.31,21.31,62.71186440677966,-9.587733139311368,62.5,21.31,62.5,21.31,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CTKB,19.95,WATCH,39.9,39.9,16.94915254237288,21.740046655940084,14.29,39.9,14.29,39.9,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CTMX,50.0,BUY,100.0,100.0,94.91525423728814,211.04645735182825,96.43,100.0,96.43,100.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CTNM,45.99,BUY,91.98,91.98,35.59322033898305,109.483561249716,33.93,91.98,33.93,91.98,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CYRX,16.21,WATCH,32.42,32.42,11.864406779661016,9.137337993087192,8.93,32.42,8.93,32.42,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CYTK,10.045,AVOID,20.09,20.09,0.0,-11.64731733723741,0.0,20.09,0.0,20.09,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DAWN,7.0,AVOID,14.0,14.0,49.15254237288136,-21.905538100894876,48.21,14.0,48.21,14.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DBVT,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DFTX,21.765,WATCH,43.53,43.53,63.63636363636363,27.84040373622992,63.47,43.53,63.47,43.53,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DMAC,35.375,BUY,70.75,70.75,89.83050847457628,73.70289425691143,91.07,70.75,91.07,70.75,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DNA,0.0,AVOID,0.0,0.0,55.932203389830505,-62.92415809264375,55.36,0.0,55.36,0.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DNLI,35.38,BUY,70.76,70.76,98.30508474576273,73.73489063250275,100.0,70.76,100.0,70.76,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DNTH,9.345,AVOID,18.69,18.69,11.864406779661016,-14.008162796207678,8.93,18.69,8.93,18.69,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DRUG,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DSGN,41.805,BUY,83.61,83.61,79.66101694915254,95.38376615036148,80.36,83.61,80.36,83.61,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
DYN,24.49,WATCH,48.98,48.98,64.40677966101694,37.03714257574117,64.29,48.98,64.29,48.98,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EBS,0.0,AVOID,0.0,0.0,62.71186440677966,-46.38909771674109,62.5,0.0,62.5,0.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EDIT,11.405,AVOID,22.81,22.81,49.15254237288136,-7.06481235701483,48.21,22.81,48.21,22.81,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
EIKN,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ELAN,13.905,AVOID,27.81,27.81,54.23728813559322,1.3541102417598123,53.57,27.81,53.57,27.81,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ELDN,18.76,WATCH,37.52,37.52,47.45762711864407,17.723595831137317,46.43,37.52,46.43,37.52,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ELTX,16.835,WATCH,33.67,33.67,20.33898305084746,11.235522295054253,17.86,33.67,17.86,33.67,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ELVN,28.235,WATCH,56.47,56.47,55.932203389830505,49.64296153977361,55.36,56.47,55.36,56.47,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
ENGN,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
