ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
GSK,52.59,51.83,1.4663,,,,,,2026-03-23
HALO,63.86,63.51,0.5511,,,,,,2026-03-23
HELP,4.7,4.64,1.2931,,,,,,2026-03-23
HRMY,27.98,27.705,0.9926,,,,,,2026-03-23
HROW,34.57,33.32,3.7515,,,,,,2026-03-23
HRTX,0.8164,0.79,3.3418,,,,,,2026-03-23
HUMA,0.8393,0.77,9.0,,,,,,2026-03-23
IBRX,9.32,8.495,9.7116,,,,,,2026-03-23
IDXX,586.23,576.9,1.6173,,,,,,2026-03-23
IDYA,32.01,32.72,-2.1699,,,,,,2026-03-23
IKT,1.795,1.79,0.2793,,,,,,2026-03-23
ILMN,124.66,124.36,0.2412,,,,,,2026-03-23
IMCR,30.55,30.06,1.6301,,,,,,2026-03-23
IMMX,9.17,9.09,0.8801,,,,,,2026-03-23
IMNM,20.58,20.04,2.6946,,,,,,2026-03-23
IMRX,5.155,4.99,3.3066,,,,,,2026-03-23
IMTX,9.4,9.47,-0.7392,,,,,,2026-03-23
IMUX,1.175,1.085,8.2949,,,,,,2026-03-23
IMVT,24.27,23.01,5.4759,,,,,,2026-03-23
INBX,64.43,61.3,5.106,,,,,,2026-03-23
INCY,90.675,90.76,-0.0937,,,,,,2026-03-23
INDV,30.54,29.32,4.161,,,,,,2026-03-23
INO,1.57,1.6,-1.875,,,,,,2026-03-23
INSM,144.81,136.0,6.4779,,,,,,2026-03-23
INVA,21.88,21.72,0.7366,,,,,,2026-03-23
IONS,71.915,71.07,1.189,,,,,,2026-03-23
IOVA,3.805,3.695,2.977,,,,,,2026-03-23
IPSC,2.275,2.44,-6.7623,,,,,,2026-03-23
IRD,4.49,4.395,2.1615,,,,,,2026-03-23
IRON,59.73,58.26,2.5232,,,,,,2026-03-23
IRWD,3.37,3.05,10.4918,,,,,,2026-03-23
IVA,6.09,5.805,4.9096,32.1041,7.79,2.9,-21.8228,110.0,2026-03-23
IVVD,1.485,1.4,6.0714,,3.05,0.4601,-51.3115,222.7559,2026-03-23
JANX,14.09,14.06,0.2134,,,,,,2026-03-23
JAZZ,183.33,180.66,1.4779,,,,,,2026-03-23
JBIO,14.29,13.935,2.5475,,,,,,2026-03-23
JNJ,235.58,235.43,0.0637,,,,,,2026-03-23
KALV,17.085,17.015,0.4114,,,,,,2026-03-23
KNSA,46.75,46.05,1.5201,,,,,,2026-03-23
KOD,22.86,22.265,2.6724,,,,,,2026-03-23
KPTI,7.47,7.605,-1.7751,,,,,,2026-03-23
KROS,11.075,10.94,1.234,,,,,,2026-03-23
KRRO,11.245,10.78,4.3135,,,,,,2026-03-23
KRYS,249.81,251.56,-0.6957,,,,,,2026-03-23
KURA,8.365,8.26,1.2712,,,,,,2026-03-23
KYMR,77.825,77.93,-0.1347,,,,,,2026-03-23
KYTX,7.97,7.92,0.6313,,,,,,2026-03-23
LAB,0.9824,0.9776,0.491,,,,,,2026-03-23
LBRX,23.55,23.49,0.2554,,,,,,2026-03-23
LCTX,1.48,1.46,1.3699,,,,,,2026-03-23
LEGN,17.43,17.42,0.0574,,,,,,2026-03-23
LENZ,11.04,10.48,5.3435,,,,,,2026-03-23
LGND,208.59,204.42,2.0399,,,,,,2026-03-23
LLY,924.18,906.63,1.9357,,,,,,2026-03-23
LNTH,76.86,76.42,0.5758,,,,,,2026-03-23
LQDA,36.54,36.415,0.3433,,,,,,2026-03-23
LRMR,4.735,4.5,5.2222,,,,,,2026-03-23
LXEO,5.53,5.66,-2.2968,,,,,,2026-03-23
LXRX,1.625,1.56,4.1667,,,,,,2026-03-23
LYEL,19.14,19.21,-0.3644,,,,,,2026-03-23
MANE,60.83,58.94,3.2067,,,,,,2026-03-23
MAZE,48.33,48.0,0.6875,,,,,,2026-03-23
MBX,28.93,28.64,1.0126,,,,,,2026-03-23
MDGL,453.44,441.46,2.7137,,,,,,2026-03-23
MDWD,17.145,16.92,1.3298,,,,,,2026-03-23
MDXG,4.295,4.13,3.9952,,,,,,2026-03-23
MEDP,458.71,452.62,1.3455,,,,,,2026-03-23
MESO,14.865,14.36,3.5167,,,,,,2026-03-23
MGNX,2.97,2.845,4.3937,,,,,,2026-03-23
MGTX,7.69,7.21,6.6574,,,,,,2026-03-23
MIRM,90.39,88.525,2.1067,,,,,,2026-03-23
MIST,1.385,1.365,1.4652,,,,,,2026-03-23
MLTX,16.97,16.25,4.4308,,,,,,2026-03-23
MLYS,23.74,24.06,-1.33,,,,,,2026-03-23
MNKD,2.46,2.48,-0.8065,,,,,,2026-03-23
MNPR,56.72,56.575,0.2563,,,,,,2026-03-23
MPLT,17.555,17.56,-0.0285,,,,,,2026-03-23
MRK,116.24,114.19,1.7953,,,,,,2026-03-23
MRNA,51.775,51.4,0.7296,,,,,,2026-03-23
MRVI,3.065,2.99,2.5084,,,,,,2026-03-23
MYGN,4.775,4.6,3.8043,,,,,,2026-03-23
NAGE,4.72,4.66,1.2876,-26.3651,14.66,4.4,-67.8035,7.2727,2026-03-23
NAMS,29.59,28.94,2.246,,41.85,14.1,-29.2951,109.8582,2026-03-23
NATR,24.29,23.64,2.7496,,,,,,2026-03-23
NBIX,128.54,127.62,0.7209,,,,,,2026-03-23
NBP,2.61,2.58,1.1628,,,,,,2026-03-23
NEOG,9.11,8.36,8.9713,,,,,,2026-03-23
NGNE,19.52,19.015,2.6558,,,,,,2026-03-23
NKTR,74.36,72.18,3.0202,,,,,,2026-03-23
NKTX,2.245,2.15,4.4186,,,,,,2026-03-23
NMRA,2.49,2.505,-0.5988,,,,,,2026-03-23
NNNN,22.01,21.985,0.1137,,,,,,2026-03-23
NRIX,14.97,14.445,3.6345,,,,,,2026-03-23
NTLA,13.29,12.86,3.3437,,,,,,2026-03-23
NTRA,201.21,195.35,2.9997,,,,,,2026-03-23
NUVB,4.38,4.23,3.5461,,,,,,2026-03-23
NUVL,95.795,94.81,1.0389,,,,,,2026-03-23
NVAX,9.74,9.62,1.2474,,,,,,2026-03-23
NVCR,12.16,11.82,2.8765,,,,,,2026-03-23
NVO,37.05,36.54,1.3957,,,,,,2026-03-23
NVS,148.74,146.0,1.8767,,,,,,2026-03-23
OCGN,2.065,2.035,1.4742,,,,,,2026-03-23
OCS,24.8,24.64,0.6494,,,,,,2026-03-23
OCUL,8.23,8.18,0.6112,,,,,,2026-03-23
OGI,1.375,1.36,1.1029,,,,,,2026-03-23
OGN,5.985,6.04,-0.9106,,,,,,2026-03-23
OLMA,14.49,14.105,2.7295,,,,,,2026-03-23
OMER,10.985,11.02,-0.3176,,,,,,2026-03-23
